GameID,Season,Fight_Time,Period,Period_Label,Team,Opponent,Is_Home,Score_State_At_Fight,Was_Trailing,Corsi_Before,Corsi_After,Corsi_Delta,Shots_Before,Shots_After,Shots_Delta,Goals_Before,Goals_After,xG_Before,xG_After,xG_Delta,Gained_Momentum
2010020113,2010,516,1,Period 1,CGY,SJS,1,3,0,5.0,6.0,1.0,3.0,6.0,3.0,2.0,1.0,0.2694293567164599,0.6991107560741626,0.4296813993577027,1
2010020118,2010,555,1,Period 1,PHI,BUF,1,-1,1,3.0,8.0,5.0,1.0,5.0,4.0,0.0,0.0,0.0450428864124936,0.2692226386964561,0.22417975228396247,1
2010020118,2010,555,1,Period 1,BUF,PHI,0,1,0,6.0,3.0,-3.0,4.0,1.0,-3.0,1.0,0.0,0.24043546942948602,0.3412727329008099,0.10083726347132388,0
2010020120,2010,1185,1,Period 1,EDM,CGY,0,-1,1,3.0,2.0,-1.0,1.0,2.0,1.0,0.0,0.0,0.0954000972941854,0.08173814667900589,-0.01366195061517951,0
2010020120,2010,1185,1,Period 1,CGY,EDM,1,1,0,10.0,2.0,-8.0,6.0,2.0,-4.0,1.0,1.0,0.6005285543870832,0.3850148581576369,-0.21551369622944627,0
2010020120,2010,1932,2,Period 2,CGY,EDM,1,3,0,4.0,8.0,4.0,1.0,4.0,3.0,1.0,0.0,0.0196135951084799,0.7606174070411129,0.741003811932633,1
2010020120,2010,1932,2,Period 2,EDM,CGY,0,-3,1,4.0,1.0,-3.0,1.0,0.0,-1.0,0.0,0.0,0.026454175025937,0.0,-0.026454175025937,0
2010020120,2010,2197,2,Period 2,EDM,CGY,0,-3,1,1.0,6.0,5.0,0.0,5.0,5.0,0.0,1.0,0.0,0.1501358735587952,0.1501358735587952,1
2010020120,2010,2197,2,Period 2,CGY,EDM,1,3,0,5.0,10.0,5.0,2.0,7.0,5.0,0.0,0.0,0.6149657549754438,1.028884620040933,0.41391886506548914,1
2010020122,2010,214,1,Period 1,COL,VAN,0,0,0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,0.023944623538206,0.3284415348871267,0.3044969113489207,1
